Category L1,Category L2,Category L3,Grade Precedence,Grade,Item Condition,Functional,Physical Condition,Packaging Condition,Accessories
Small Appliances,Kitchen Appliances,Induction Cookers,,,,,,,
Small Appliances,Cookware,Chimney,,,,,,,
Small Appliances,Cookware,Cooking Range,,,,,,,
Small Appliances,Health & Personal Care,Massagers,,,,,,,
Small Appliances,Health & Personal Care,Well Being,,,,,,,
Small Appliances,Health & Personal Care,Male Grooming & Shaving,,,,,,,
Small Appliances,Kitchen Appliances,Coffee Makers,,,,,,,
Small Appliances,Water Purifiers,Water Dispensers,,,,,,,
Small Appliances,Kitchen Appliances,Food Preparation,,,,,,,
Small Appliances,Home Appliances,Irons,,,,,,,
Small Appliances,Kitchen Appliances,Kettles,,,,,,,
Small Appliances,Kitchen Appliances,JMG/MG,,,,,,,
Small Appliances,Kitchen Appliances,Kitchenware,,,,,,,
Small Appliances,Health & Personal Care,Female Grooming & Depilation,,,,,,,
Small Appliances,Kitchen Appliances,Toasters & Sandwich Makers,,,,,,,
Small Appliances,Water Purifiers,Water Purifiers UV,,,,,,,
Small Appliances,Tools,Kits & Accessories,,,,,,,
Small Appliances,Home Appliances,Instant Geysers,,,,,,,
Small Appliances,Home Appliances,Lighting,,,,,,,
Small Appliances,Ovens & Cookers,OTG Less Than 30L,,,,,,,
Small Appliances,Ovens & Cookers,Cookers,,,,,,,
Small Appliances,Ovens & Cookers,Snackmakers / Fryware,,,,,,,
Small Appliances,Power,Invertors,,,,,,,
Small Appliances,Power,Door Chimes,,,,,,,
Small Appliances,Power,Stabilizer,,,,,,,
Small Appliances,Security,Security Accessories,,,,,,,
Small Appliances,Security,CCTV Video Security,,,,,,,
Small Appliances,Security,Fire Saftey,,,,,,,
Small Appliances,Security,IP Range,,,,,,,
Small Appliances,Security,Wired Security Systems,,,,,,,
Small Appliances,Security,Wireless Security Systems,,,,,,,
Small Appliances,Security,Smoke Detectors,,,,,,,
Small Appliances,Security,Electronic Safes,,,,,,,
Small Appliances,Security,Alarm Systems,,,,,,,
Small Appliances,Tools,Cordless Tools,,,,,,,
Small Appliances,Health & Personal Care,Baby Care,,,,,,,
Small Appliances,Health & Personal Care,Dental Care,,,,,,,
Small Appliances,Home Appliances,Small Vacuum Cleaners,,,,,,,
Small Appliances,Dummies,Dummies Small Appliances,,,,,,,
Communication,Phones Fixed,Phones Corded,,,,,,,
Communication,Phones Fixed,Phones Cordless,,,,,,,
Communication,Phones Fixed,Simcard enabled Fixed Phone,,,,,,,
Communication,Phones Fixed,VoIP Router,,,,,,,
Entertainment,Home Theatre,Home Theatre - Low End,,,,,,,
Entertainment,Home Theatre,Home Theatre - Low End_L,,,,,,,
Entertainment,Home Theatre,Home Theatre - High End,,,,,,,
Entertainment,Home Theatre,Sound Bars_L,,,,,,,
Entertainment,Home Theatre,Sound Bars_H,,,,,,,
Entertainment,Projectors,Projectors,,,,,,,
Entertainment,Kits/Toys,Musical Instrument Toys,,,,,,,
Entertainment,Portable BT Speakers/MP3 Players,Speakers - Bluetooth/Portable_L,,,,,,,
Entertainment,Portable BT Speakers/MP3 Players,I-POD,,,,,,,
Entertainment,Portable BT Speakers/MP3 Players,OTHER MP3 Players,,,,,,,
Entertainment,Audio Systems,Personal Audio_H,,,,,,,
Entertainment,Audio Systems,Portable Radio Cassette & CD,,,,,,,
Entertainment,Audio Systems,Boombox with LCD TV,,,,,,,
Entertainment,Home Theatre,High End Speakers & Amplifiers,,,,,,,
Entertainment,Speakers,Multimedia Speakers_L,,,,,,,
Entertainment,Speakers,Multimedia Speakers_H,,,,,,,
Entertainment,Audio Systems,Micro HiFi Systems,,,,,,,
Entertainment,Audio Systems,Mini HiFi Systems,,,,,,,
Computers Peripherals,Printers & Office Solutions,Printers Inkjet,,,,,,,
Computers Peripherals,Printers & Office Solutions,Printers Laser,,,,,,,
Computers Peripherals,Printers & Office Solutions,Printers Multi Function,,,,,,,
Computers Peripherals,Printers & Office Solutions,Shredders,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets & Detachables - D,,,,,,,
Entertainment,DVD/VCD/Content,DVD Players - 5.1 Channel,,,,,,,
Entertainment,DVD/VCD/Content,DVD Recorders & VCR,,,,,,,
Entertainment,DVD/VCD/Content,DVD In Car,,,,,,,
Computers Peripherals,Storage Media,Harddisk,,,,,,,
Small Appliances,Home Appliances,Large Vacuum Cleaners,,,,,,,
Computers Peripherals,PC Accessories,Web Cams,,,,,,,
Computers Peripherals,PC Accessories,Laptop Kit,,,,,,,
Computers Peripherals,Networking,Networking N Series,,,,,,,
Entertainment,Personal Assistant Speaker,Personal Assistant Speaker,,,,,,,
Small Appliances,Ovens & Cookers,Barbecues,,,,,,,
Entertainment,Speakers,DO NOT USE,,,,,,,
Small Appliances,Kitchen Appliances,Kitchen Sets & Accessories,,,,,,,
Small Appliances,Security,Personal / Baby Monitors,,,,,,,
Entertainment,Audio Systems,Portable Radio Cassette & CD_L,,,,,,,
Entertainment,Audio Systems,Clock Radios,,,,,,,
Small Appliances,Tools,Corded Tools,,,,,,,
Entertainment,Audio Systems,Receivers / Amps,,,,,,,
Computers Peripherals,PC Accessories,PC Speakers,,,,,,,
Entertainment,Home Theatre,Home Theatre Blue Ray_L,,,,,,,
Small Appliances,Cooling & Heating Appliances,Coolers & Warmers,,,,,,,
Small Appliances,Water Purifiers,Water Purifiers RO,,,,,,,
Entertainment,Home Theatre,Home Theatre Blue Ray-High End_L,,,,,,,
Gaming,Gaming Software,X-Box Live,,,,,,,
Small Appliances,Fans,Exhaust Fan,,,,,,,
Entertainment,Musical Instruments,Drums,,,,,,,
Entertainment,Musical Instruments,Guitars,,,,,,,
Small Appliances,Kitchen Appliances,Wet Grinders,,,,,,,
Small Appliances,Home Appliances,Storage Geysers,,,,,,,
Communication,Phones Fixed,Fixed Wireless Phones - FWP,,,,,,,
Computers Peripherals,Printers & Office Solutions,Ink Tank Printers,,,,,,,
