Category L1,Category L2,Category L3
Communication,Lifestyle & Wearables,Smartwatch - D
Charge,TV Services,TV Services
Communication,Phones Mobile Accessories,Memory Cards - COM Premium
Entertainment,Entertainment Accessories,Adaptors - Audio / Video / RF_L
Computers Peripherals,Mobile Computing,Extended Warranty Mobile Computing
Entertainment,Earphones/Headphones,Demo Earphones/Headphones
Charge,Simcard,Postpaid Simcards
Imaging,DSLR Cameras,ExWty- DSLR Cameras
Communication,Lifestyle & Wearables,Mobile Projectors
Small Appliances,Connected Homes & Housewares,Smart Lighting
Small Appliances,Water Purifiers,ExWty-Water Purifiers
Small Appliances,Home Appliances,ExWty - Home Appliances
