Vendor Name,Vendor Code,Location,Vendor Type,E-waste certified,Contracted
Biz Acutiy Solutions,acutiy,,B2B,No,No
Sri Vasavi Cell Park ,vasavi,,B2B,No,No
Navkar Marketing,navkar1,,B2B,No,No
Gadgets World,gadgets1,,B2B,No,No
Sriganesh Computers,sriganeshcomputers,,B2B,No,No
Chandra Computer,chandracom,,B2B,No,No
Unique Factory,ufactory,,B2B,No,No
Naitik Communication,naitik,,B2B,No,No
Ratan Enterprises,ratan,,B2B,No,No
J.Y.Electronics,jyelect,,B2B,No,No
Shree Ramdev Mobile,ramdev,,B2B,No,No
Dv Enterprises,dventer,,B2B,No,No
 M Oswal Marketing & Satish Traders,moswal,,B2B,No,No
Mehul Electronics,mehul,,B2B,No,No
Laxmi Mart,shiv_raj,,B2B,No,No
Jai Mata Di Electronics,jaima,,B2B,No,No
Amrapali,amra,,B2B,No,No
Zalani Collection,zalani,,B2B,No,No
 Shah Electronics,shahelect,,B2B,No,No
Marahman,marahman,,B2B,No,No
 Diva,diva,,B2B,No,No
Sudershan Elecronics,sudee,,B2B,No,No
J P Enterprises,jeet,,B2B,No,No
Manpasand,manpa,,B2B,No,No
Anaya Enterprises,anaya,,B2B,No,No
Singh Referigeration And Electrical,singh,,B2B,No,No
Hyson Systems Limited,hyson,,B2B,No,No
Horizon It Solutions,horizonit,,B2B,No,No
Ms Bombay Fashion,msbombay,,B2B,No,No
Vertex Construction Company,verte,,B2B,No,No
Chinni Computers,chinni,,B2B,No,No
Jin Mobile,jinmobile,,B2B,No,No
Khanna Electronics,khanna,,B2B,No,No
 Radiant Enterprises,radiant,,B2B,No,No
 Bhanushali Mobile Point,bhanushali,,B2B,No,No
Ringcel,ringcel,,B2B,No,No
Faheem Rehman,faheem,,B2B,No,No
Sisnet Systems,sisns,,B2B,No,No
Zuhib,zuhib,,B2B,No,No
Universal Mobile,universal,,B2B,No,No
Newtek Recyclers,newtek,,B2B,No,No
Sayeed,sayeed,,B2B,No,No
Greenbay Enterprises,greee,,B2B,No,No
Sundaram Nx,sundnx,,B2B,No,No
Murali,murali,,B2B,No,No
 Burhani Computech,burhani1,,B2B,No,No
Shubham Enterprises,ritu,,B2B,No,No
Sun Computers,samson,,B2B,No,No
Siraj Mohd,siraj,,B2B,No,No
Mangalmurti Sales & Service,mangalm,,B2B,No,No
Syed Yezdan,yezdan,,B2B,No,No
Sharan Enterprises,sharan,,B2B,No,No
J.T.Collections Readymade Garments,jtcollect,,B2B,No,No
N Z Enterprises,nzent,,B2B,No,No
Monchathy Ladies Center,abdulm,,B2B,No,No
Keerthi Enterprises ,keerthi93,,B2B,No,No
Sapan Jain,sapan1,,B2B,No,No
Saroj Sales,sarojsale,,B2B,No,No
Rihan Infotech,rihaninfo,,B2B,No,No
N M Enterprises,nmenter,,B2B,No,No
R C Computer And Solutions,rccom,,B2B,No,No
Ms Communications,mscomm,,B2B,No,No
Elektrotrade,elektro,,B2B,No,No
Nitin Pahuja,nitin,,B2B,No,No
Ambition Info Solutions,ambition,,B2B,No,No
Limra Telecom,limra,,B2B,No,No
Amanulla And Sons,aman,,B2B,No,No
Rishi,nangiarishi,,B2B,No,No
Five Star Sales & Services,fivestar,,B2B,No,No
Somashekar,soma,,B2B,No,No
